System,Type,Target_cm^-1,Pair_Density,Min_Distance
N I (NIST),atomic,0.9798994974874372,0.00016838239851853188,0.02010050251256279
N I (NIST),atomic,1.0050251256281408,0.00016849023248558906,0.005025125628140836
N I (NIST),atomic,1.0301507537688444,0.00017230369122429528,0.009849246239304721
N I (NIST),atomic,1.0552763819095479,0.00017776919206230338,0.015276381901398794
N I (NIST),atomic,1.0804020100502514,0.00018266694442754008,0.01959798994101747
N I (NIST),atomic,1.105527638190955,0.00018519013204305415,0.005527638185134132
N I (NIST),atomic,1.1306532663316584,0.00018434274336924105,0.0006532663270018002
N I (NIST),atomic,1.155778894472362,0.0001800598319512084,0.004221105531130531
N I (NIST),atomic,1.1809045226130654,0.00017304155648018184,0.019095477384024173
N I (NIST),atomic,1.206030150753769,0.0001643889736550548,0.006030150756679342
N I (NIST),atomic,1.2311557788944725,0.00015519708430767964,0.031155778897382858
N I (NIST),atomic,1.256281407035176,0.0001462652641141183,0.023718592963659857
N I (NIST),atomic,1.2814070351758795,0.00013802024562392152,0.0014070351770436584
N I (NIST),atomic,1.306532663316583,0.00013064125169598618,0.0065326633136726375
N I (NIST),atomic,1.3316582914572865,0.00012428184684111818,0.001658291455540306
N I (NIST),atomic,1.35678391959799,0.00011924424846845481,0.02678391959624382
N I (NIST),atomic,1.3819095477386936,0.00011599548352825846,0.018090452255485667
N I (NIST),atomic,1.407035175879397,0.00011500141184443003,0.007035175885217848
N I (NIST),atomic,1.4321608040201006,0.00011645159550330192,0.03216080402592136
N I (NIST),atomic,1.4572864321608041,0.0001200108863431795,0.04271356783919589
N I (NIST),atomic,1.4824120603015076,0.00012473484947500308,0.017587939698492372
N I (NIST),atomic,1.5075376884422111,0.0001292242882776586,0.007537688442211143
N I (NIST),atomic,1.5326633165829147,0.00013199365467827815,0.007336683425234414
N I (NIST),atomic,1.5577889447236182,0.0001319309376419864,0.003788944719892884
N I (NIST),atomic,1.5829145728643217,0.00012867631437121196,0.0029145728625754597
N I (NIST),atomic,1.6080402010050252,0.0001227691176422194,0.008040201013756354
N I (NIST),atomic,1.6331658291457287,0.00011550067973965297,0.03316582915445987
N I (NIST),atomic,1.6582914572864322,0.00010852553387531609,0.058291457295163385
N I (NIST),atomic,1.6834170854271358,0.00010337322505394902,0.04658291456878971
N I (NIST),atomic,1.7085427135678393,0.00010102966544974118,0.021457286428086197
N I (NIST),atomic,1.7336683417085428,0.00010171564305759731,0.003668341712617318
N I (NIST),atomic,1.7587939698492463,0.00010490746625169816,0.028793969853320833
N I (NIST),atomic,1.7839195979899498,0.00010956032376250563,0.01608040201296057
N I (NIST),atomic,1.8090452261306533,0.00011443951171195789,0.009045226127742945
N I (NIST),atomic,1.8341708542713568,0.0001184497151485139,0.005829145725150697
N I (NIST),atomic,1.8592964824120604,0.00012087324097036764,0.0047035175893366254
N I (NIST),atomic,1.8844221105527639,0.00012147166677395474,0.02042211055136689
N I (NIST),atomic,1.9095477386934674,0.00012045597092986638,0.00045226131002507053
N I (NIST),atomic,1.934673366834171,0.00011837042143149129,0.024673366830678445
N I (NIST),atomic,1.9597989949748744,0.00011594989466971087,0.04020100502512558
N I (NIST),atomic,1.984924623115578,0.0001139937839343977,0.015075376884422065
N I (NIST),atomic,2.0100502512562817,0.00011326450529464329,0.007050251259308471
