System,Type,Gamma_cm^-1,Pair_Density_Full,Subsample_Success,Subsample_Mean,Continuous_Baseline_Uniform_Density,Continuous_Baseline_GapShuffle_Density
Fe II (NIST),atomic,0.13503140378698722,9.183308246716394e-05,0.02666666666666667,0.03333333333333333,4.092704812908628e-06,8.44084188792193e-05
Fe II (NIST),atomic,0.20153376859417332,0.00011140228892682249,0.03,0.03666666666666667,5.335721127647149e-06,0.00010027612931247165
Fe II (NIST),atomic,0.3007882518043099,0.00013330325690639208,0.03333333333333333,0.04,7.207499021679344e-06,0.00011539557447988729
Fe II (NIST),atomic,0.4489251258218603,0.00015634184606893846,0.04,0.04666666666666667,1.0481967717596218e-05,0.00012854170196455696
Fe II (NIST),atomic,0.670018750350959,0.0001848374546680222,0.04666666666666667,0.05333333333333334,1.4870950755955308e-05,0.00014654818523082968
Fe II (NIST),atomic,1.0,0.00023170049582380128,0.04666666666666667,0.05333333333333334,2.047071197929727e-05,0.00017166189732742169
N I (NIST),atomic,0.0001,0.0,0.0,0.0,1.0361437158875834e-10,0.0
N I (NIST),atomic,0.0001492495545051829,3.071669992114712e-182,0.0,0.0,2.1702333986337384e-08,3.1996562417861583e-182
N I (NIST),atomic,0.00022275429519995563,2.0058831125212061e-84,0.0,0.0,9.717636440959787e-09,2.0058831125212061e-84
N I (NIST),atomic,0.00033245979322709415,1.6363863893971798e-40,0.0,0.0,1.7643358288679065e-08,1.7045692322310823e-40
N I (NIST),atomic,0.0004961947603002903,8.45079450663903e-21,0.0,0.0,8.08122826785948e-09,8.45079450663903e-21
N I (NIST),atomic,0.0007405684692262435,5.978110825780935e-12,0.0,0.0,6.534834258701009e-09,5.978110825780935e-12
N I (NIST),atomic,0.0011052951411260222,5.6191498186821974e-08,0.0,0.0,3.840584280042252e-08,5.619149818682197e-08
N I (NIST),atomic,0.0016496480740980208,3.4689326745224818e-06,0.0,0.0,6.857386264413602e-08,3.4689326745224814e-06
N I (NIST),atomic,0.0024620924014946257,2.320945600089992e-05,0.0,0.0,6.758120621218966e-08,2.3477549432061455e-05
N I (NIST),atomic,0.003674661940736688,5.793779811914057e-05,0.0,0.0,1.360121074441628e-07,5.7937798119192356e-05
N I (NIST),atomic,0.005484416576121015,9.394370795868539e-05,0.03333333333333333,0.03333333333333333,2.1557039673032472e-07,9.414638447315109e-05
N I (NIST),atomic,0.008185467307069028,0.00013022098599043493,0.03333333333333333,0.03333333333333333,2.3029680206937916e-07,0.00013022098598611533
N I (NIST),atomic,0.012216773489967919,0.00016748427692986486,0.04,0.04,4.935588505736502e-07,0.0001674842769271653
N I (NIST),atomic,0.018233480008684404,0.00020050157059699683,0.05333333333333334,0.05333333333333334,6.490119183430329e-07,0.00020050156981638763
N I (NIST),atomic,0.027213387683753087,0.0002326369946603975,0.06,0.06,8.496704284295273e-07,0.0002326546711574509
N I (NIST),atomic,0.0406158598837698,0.00027006585457461024,0.06,0.06,1.5055318381925144e-06,0.00027484773577642676
N I (NIST),atomic,0.06061898993497572,0.00031095615596781335,0.07333333333333333,0.07666666666666666,2.072286216292682e-06,0.0003195321023047598
N I (NIST),atomic,0.09047357242349294,0.00034533263006089035,0.08666666666666667,0.09333333333333334,2.7510356262503493e-06,0.0003375078291716831
N I (NIST),atomic,0.13503140378698722,0.00037559191461520556,0.09,0.09666666666666666,3.3159496489245703e-06,0.0003685545928538663
N I (NIST),atomic,0.20153376859417332,0.00042267854580773533,0.09,0.09666666666666666,4.6949789989190276e-06,0.0004125134626791719
N I (NIST),atomic,0.3007882518043099,0.000499467219524183,0.09666666666666666,0.10333333333333333,6.6538446501839405e-06,0.0005004901644483745
N I (NIST),atomic,0.4489251258218603,0.0006239128841449917,0.12,0.13,9.355091003483687e-06,0.0006089079686324275
N I (NIST),atomic,0.670018750350959,0.0008057666122297827,0.13333333333333333,0.14666666666666667,1.2945157877667103e-05,0.0007472651848832398
N I (NIST),atomic,1.0,0.001050474558379207,0.16666666666666666,0.19333333333333333,1.8610791163257408e-05,0.0009330306817848942
NV (Doherty+),defect,0.0001,0.0,0.0,0.0,1.0885848453111243e-08,0.0
NV (Doherty+),defect,0.0001492495545051829,0.0,0.0,0.0,2.4731554908281274e-08,0.0
NV (Doherty+),defect,0.00022275429519995563,0.0,0.0,0.0,7.627519842798861e-11,0.0
NV (Doherty+),defect,0.00033245979322709415,0.0,0.0,0.0,1.3347984685509205e-08,0.0
NV (Doherty+),defect,0.0004961947603002903,0.0,0.0,0.0,5.906010115191347e-08,0.0
NV (Doherty+),defect,0.0007405684692262435,0.0,0.0,0.0,9.401120314736044e-08,0.0
