System,Type,Gamma_cm^-1,Pair_Density_Full,Subsample_Success,Subsample_Mean,Continuous_Baseline_Uniform_Density,Continuous_Baseline_GapShuffle_Density
N I (NIST),atomic,0.2682695795279725,0.0004736241384860686,0.09333333333333334,0.1,6.222225701703702e-06,0.0004812353892734475
N I (NIST),atomic,0.32374575428176433,0.00051814952394059,0.09666666666666666,0.10333333333333333,6.823928924513289e-06,0.0005158334789138608
N I (NIST),atomic,0.3906939937054613,0.0005742326197595581,0.11666666666666667,0.12666666666666668,8.281337270343702e-06,0.0005585730585032507
N I (NIST),atomic,0.47148663634573895,0.000643136265867283,0.12,0.13,9.470708474054982e-06,0.0006003939184287978
N I (NIST),atomic,0.5689866029018293,0.000724759559095701,0.13,0.14333333333333334,1.1039858837823694e-05,0.0007012824393994177
N I (NIST),atomic,0.6866488450042998,0.0008187455427976423,0.13666666666666666,0.15,1.3354234193111609e-05,0.0007797911013907585
N I (NIST),atomic,0.8286427728546842,0.0009262827056622073,0.16,0.18666666666666668,1.6034821620284042e-05,0.0008179492013637059
N I (NIST),atomic,1.0,0.001050474558379207,0.16666666666666666,0.19333333333333333,1.854891998280137e-05,0.0009504808568390503
NV (Doherty+),defect,0.0001,0.0,0.0,0.0,1.4473046302126835e-08,0.0
NV (Doherty+),defect,0.00012067926406393288,0.0,0.0,0.0,2.7336338783184387e-09,0.0
NV (Doherty+),defect,0.00014563484775012445,0.0,0.0,0.0,2.116067608750743e-08,0.0
NV (Doherty+),defect,0.00017575106248547912,0.0,0.0,0.0,2.0520790793699714e-08,0.0
NV (Doherty+),defect,0.00021209508879201905,0.0,0.0,0.0,1.361134620179399e-08,0.0
NV (Doherty+),defect,0.0002559547922699536,0.0,0.0,0.0,2.5639885359548578e-08,0.0
NV (Doherty+),defect,0.00030888435964774815,0.0,0.0,0.0,4.021362274987165e-08,0.0
NV (Doherty+),defect,0.0003727593720314938,0.0,0.0,0.0,7.771838958871554e-08,0.0
NV (Doherty+),defect,0.0004498432668969444,0.0,0.0,0.0,2.875196101807978e-08,0.0
NV (Doherty+),defect,0.0005428675439323859,0.0,0.0,0.0,6.898505284834893e-08,0.0
NV (Doherty+),defect,0.0006551285568595509,0.0,0.0,0.0,2.6146117820949235e-08,0.0
NV (Doherty+),defect,0.0007906043210907702,0.0,0.0,0.0,9.743722976647773e-08,0.0
NV (Doherty+),defect,0.0009540954763499944,0.0,0.0,0.0,1.0868246570408873e-07,0.0
NV (Doherty+),defect,0.0011513953993264468,0.0,0.0,0.0,1.7178440450113215e-07,0.0
NV (Doherty+),defect,0.0013894954943731374,0.0,0.0,0.0,1.5852126150854248e-07,0.0
NV (Doherty+),defect,0.0016768329368110067,0.0,0.0,0.0,1.7181947928417874e-07,0.0
NV (Doherty+),defect,0.0020235896477251557,0.0,0.0,0.0,2.5942962529115837e-07,0.0
NV (Doherty+),defect,0.0024420530945486497,0.0,0.0,0.0,2.88452067952925e-07,0.0
NV (Doherty+),defect,0.0029470517025518097,0.0,0.0,0.0,3.3387967871798697e-07,0.0
NV (Doherty+),defect,0.0035564803062231283,0.0,0.0,0.0,4.284186398762011e-07,0.0
